"","tests","n_similarities","X2dim","X5dim","X10dim","X20dim","X50dim"
"1","jarque_estadistico","363.95712341346","96.842173892933","423.631329643053","937.392796580493","1060.66478941036","1251.21034268384"
"2","jarque_pvalor","0","0","0","0","0","0"
"3","jarque_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
"4","anderson_estadistico","38.8520441563767","62.8060614899763","127.975730685758","172.910119136867","205.104829287583","218.658702986603"
"5","anderson_pvalor","3.7e-24","3.7e-24","3.7e-24","3.7e-24","3.7e-24","3.7e-24"
"6","anderson_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
"7","kolmogorov_estadistico","0.222007805021392","0.254091488127477","0.351452639764324","0.388859640250319","0.454888597608908","0.472886782441452"
"8","kolmogorov_pvalor","9.75899775536466e-125","1.37256122119727e-164","1.99059048709438e-319","0","0","0"
"9","kolmogorov_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
"10","pearson_estadistico","1798.51670378619","4173.29621380846","5103.29621380846","8607.8841870824","13985.8663697105","16668.0913140312"
"11","pearson_pvalor","0","0","0","0","0","0"
"12","pearson_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
"13","shapfran_estadistico","0.876354699708513","0.838035563693156","0.712614445890115","0.603919052233135","0.543679292901862","0.508545005896255"
"14","shapfran_pvalor","3.9237616336949e-23","7.241563463171e-26","3.2551192669831e-32","4.37689307622569e-36","7.23348907303148e-38","8.08937146401842e-39"
"15","shapfran_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
"16","shapwilk_estadistico","0.875684522860696","0.836887246712823","0.71243181054347","0.604091016862314","0.544587116177493","0.509122985578142"
"17","shapwilk_pvalor","3.77708053074618e-26","2.48855181401402e-29","1.35508814594946e-36","4.6149643888607e-41","4.19798374741849e-43","3.22643438917099e-44"
"18","shapwilk_conclusion","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula","Rechaza la hipótesis nula"
